fsm,wis,ois,wisp,oisp,7676,134524,226452,334353,449872,543342,636439,74765,93925383,103539682,median
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.655 --n1x1 0 --c1x1 2 --p1x1 0.332 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.11 --n2x1 2 --c2x1 2 --p2x1 0.855 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.475 --n3x1 0 --c3x1 4 --p3x1 4 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.475 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,48.569,0.971,48.243,0.964,40.0,44.0,45.0,53.0,48.0,45.0,50.0,55.0,57.0,52.0,49.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 7 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.14 --n1x1 0 --c1x1 2 --p1x1 0.735 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.612 --n2x1 2 --c2x1 2 --p2x1 0.954 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.502 --n3x1 0 --c3x1 4 --p3x1 3 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.086 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,48.407,1.03578e+23,47.018,1.00607e+23,40.0,47.0,40.0,47.0,43.0,46.0,44.0,47.0,46.0,42.0,45.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 10 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.986 --n1x1 0 --c1x1 2 --p1x1 0.984 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.763 --n2x1 2 --c2x1 2 --p2x1 0.081 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.404 --n3x1 0 --c3x1 4 --p3x1 1 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.606 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,45.531,7.10463e+36,44.234,6.90228e+36,39.0,52.0,58.0,44.0,55.0,56.0,50.0,47.0,54.0,56.0,53.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 10 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.129 --n1x1 0 --c1x1 2 --p1x1 0.675 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.113 --n2x1 2 --c2x1 2 --p2x1 0.503 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.373 --n3x1 0 --c3x1 4 --p3x1 5 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.666 --n3x3 0 --c3x3 4 --p3x3 7 --w3x3 1.02 ,46.285,1.40848e+18,44.964,1.36829e+18,51.0,39.0,48.0,48.0,48.0,39.0,44.0,42.0,46.0,43.0,45.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 4 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.144 --n1x1 0 --c1x1 2 --p1x1 0.258 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.64 --n2x1 2 --c2x1 2 --p2x1 0.735 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.788 --n3x1 0 --c3x1 4 --p3x1 1 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.163 --n3x3 0 --c3x3 4 --p3x3 8 --w3x3 1.02 ,46.488,0.043,46.834,0.043,47.0,48.0,52.0,45.0,45.0,40.0,42.0,48.0,48.0,44.0,46.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 9 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.191 --n1x1 0 --c1x1 2 --p1x1 0.507 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.415 --n2x1 2 --c2x1 2 --p2x1 0.472 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.475 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.865 --n3x3 0 --c3x3 4 --p3x3 6 --w3x3 1.02 ,44.9,224638.0,45.006,225171.0,45.0,51.0,41.0,49.0,46.0,54.0,45.0,45.0,49.0,49.0,47.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 8 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.529 --n1x1 0 --c1x1 2 --p1x1 0.584 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.101 --n2x1 2 --c2x1 2 --p2x1 0.716 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.674 --n3x1 0 --c3x1 4 --p3x1 6 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.46 --n3x3 0 --c3x3 4 --p3x3 4 --w3x3 1.02 ,50.104,87649700000000.0,48.661,85125700000000.0,49.0,43.0,44.0,50.0,42.0,52.0,54.0,53.0,52.0,47.0,49.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 3 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.721 --n1x1 0 --c1x1 2 --p1x1 0.812 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.277 --n2x1 2 --c2x1 2 --p2x1 0.748 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.341 --n3x1 0 --c3x1 4 --p3x1 4 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.971 --n3x3 0 --c3x3 4 --p3x3 7 --w3x3 1.02 ,50.798,5.84579e+29,49.333,5.67718e+29,49.0,49.0,45.0,48.0,53.0,52.0,45.0,57.0,53.0,41.0,49.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 2 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.227 --n1x1 0 --c1x1 2 --p1x1 0.747 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.308 --n2x1 2 --c2x1 2 --p2x1 0.856 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.63 --n3x1 0 --c3x1 4 --p3x1 1 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.726 --n3x3 0 --c3x3 4 --p3x3 4 --w3x3 1.02 ,52.649,1.93714e+23,51.125,1.88105e+23,51.0,49.0,53.0,44.0,54.0,51.0,46.0,42.0,48.0,44.0,48.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 9 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.197 --n1x1 0 --c1x1 2 --p1x1 0.884 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.494 --n2x1 2 --c2x1 2 --p2x1 0.245 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.712 --n3x1 0 --c3x1 4 --p3x1 9 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.739 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,45.738,5.232970000000001e+30,44.434,5.08385e+30,50.0,50.0,46.0,50.0,43.0,44.0,47.0,44.0,57.0,45.0,46.5
