fsm,wis,ois,wisp,oisp,7676,134524,226452,334353,449872,543342,636439,74765,93925383,103539682,median
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 9 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.232 --n1x1 0 --c1x1 2 --p1x1 0.1 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.128 --n2x1 2 --c2x1 2 --p2x1 0.279 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.494 --n3x1 0 --c3x1 4 --p3x1 1 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.218 --n3x3 0 --c3x3 4 --p3x3 3 --w3x3 1.02 ,47.582,0.007,46.204,0.006,38.0,37.0,45.0,38.0,49.0,42.0,44.0,46.0,44.0,40.0,43.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.247 --n1x1 0 --c1x1 2 --p1x1 0.987 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.46 --n2x1 2 --c2x1 2 --p2x1 0.322 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.323 --n3x1 0 --c3x1 4 --p3x1 4 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.526 --n3x3 0 --c3x3 4 --p3x3 9 --w3x3 1.02 ,46.231,2.55724e+36,44.912,2.48427e+36,42.0,44.0,52.0,43.0,45.0,51.0,44.0,49.0,52.0,54.0,47.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 8 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.016 --n1x1 0 --c1x1 2 --p1x1 0.61 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.667 --n2x1 2 --c2x1 2 --p2x1 0.538 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.676 --n3x1 0 --c3x1 4 --p3x1 2 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.146 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,44.735,63078800000.0,43.847,61827100000.0,30.0,40.0,34.0,29.0,29.0,42.0,32.0,34.0,38.0,35.0,34.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 6 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.899 --n1x1 0 --c1x1 2 --p1x1 0.421 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.816 --n2x1 2 --c2x1 2 --p2x1 0.218 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.315 --n3x1 0 --c3x1 4 --p3x1 9 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.178 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,43.084,11.091,48.877,12.583,56.0,49.0,44.0,47.0,49.0,48.0,47.0,49.0,47.0,54.0,48.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 8 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.649 --n1x1 0 --c1x1 2 --p1x1 0.064 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.687 --n2x1 2 --c2x1 2 --p2x1 0.568 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.639 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.817 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,47.969,0.036,46.577,0.035,38.0,43.0,47.0,52.0,41.0,48.0,38.0,39.0,48.0,43.0,43.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 7 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.016 --n1x1 0 --c1x1 2 --p1x1 0.775 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.898 --n2x1 2 --c2x1 2 --p2x1 0.252 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.763 --n3x1 0 --c3x1 4 --p3x1 6 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.173 --n3x3 0 --c3x3 4 --p3x3 7 --w3x3 1.02 ,45.363,2.40807e+21,44.071,2.33952e+21,34.0,37.0,36.0,29.0,36.0,38.0,27.0,40.0,46.0,28.0,36.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 7 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.468 --n1x1 0 --c1x1 2 --p1x1 0.828 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.462 --n2x1 2 --c2x1 2 --p2x1 0.265 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.934 --n3x1 0 --c3x1 4 --p3x1 5 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.136 --n3x3 0 --c3x3 4 --p3x3 10 --w3x3 1.02 ,46.841,1.19588e+29,45.503,1.1617000000000002e+29,50.0,49.0,54.0,50.0,55.0,53.0,57.0,53.0,54.0,48.0,53.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 6 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.333 --n1x1 0 --c1x1 2 --p1x1 0.75 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.072 --n2x1 2 --c2x1 2 --p2x1 0.136 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.596 --n3x1 0 --c3x1 4 --p3x1 6 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.049 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,45.502,1.33031e+23,44.206,1.29243e+23,46.0,47.0,48.0,41.0,47.0,49.0,49.0,45.0,51.0,49.0,47.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 3 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.323 --n1x1 0 --c1x1 2 --p1x1 0.435 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.462 --n2x1 2 --c2x1 2 --p2x1 0.17 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.192 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.619 --n3x3 0 --c3x3 4 --p3x3 6 --w3x3 1.02 ,34.173,5.011,47.73,6.999,48.0,43.0,49.0,45.0,51.0,43.0,48.0,43.0,59.0,48.0,48.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 2 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.366 --n1x1 0 --c1x1 2 --p1x1 0.775 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.626 --n2x1 2 --c2x1 2 --p2x1 0.921 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.055 --n3x1 0 --c3x1 4 --p3x1 5 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.153 --n3x3 0 --c3x3 4 --p3x3 7 --w3x3 1.02 ,52.923,4.4464e+25,51.39,4.31758e+25,48.0,47.0,43.0,47.0,55.0,53.0,40.0,51.0,53.0,44.0,47.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 2 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.572 --n1x1 0 --c1x1 2 --p1x1 0.314 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.844 --n2x1 2 --c2x1 2 --p2x1 0.488 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.558 --n3x1 0 --c3x1 4 --p3x1 1 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.059 --n3x3 0 --c3x3 4 --p3x3 10 --w3x3 1.02 ,46.643,0.149,47.087,0.151,56.0,40.0,53.0,57.0,49.0,45.0,44.0,47.0,58.0,47.0,48.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 3 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.377 --n1x1 0 --c1x1 2 --p1x1 0.366 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.024 --n2x1 2 --c2x1 2 --p2x1 0.196 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.479 --n3x1 0 --c3x1 4 --p3x1 6 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.671 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,36.713,0.152,47.156,0.195,48.0,56.0,56.0,59.0,43.0,51.0,49.0,47.0,42.0,54.0,50.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.723 --n1x1 0 --c1x1 2 --p1x1 0.133 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.699 --n2x1 2 --c2x1 2 --p2x1 0.705 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.3 --n3x1 0 --c3x1 4 --p3x1 8 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.483 --n3x3 0 --c3x3 4 --p3x3 3 --w3x3 1.02 ,48.672,0.1,47.263,0.097,41.0,42.0,46.0,48.0,56.0,43.0,54.0,41.0,50.0,38.0,44.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 6 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.766 --n1x1 0 --c1x1 2 --p1x1 0.894 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.612 --n2x1 2 --c2x1 2 --p2x1 0.668 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.128 --n3x1 0 --c3x1 4 --p3x1 1 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.909 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,49.501,1.1920899999999998e+34,48.077,1.1578099999999999e+34,45.0,52.0,52.0,50.0,47.0,51.0,53.0,47.0,43.0,44.0,48.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.032 --n1x1 0 --c1x1 2 --p1x1 0.575 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.62 --n2x1 2 --c2x1 2 --p2x1 0.06 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.54 --n3x1 0 --c3x1 4 --p3x1 5 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.794 --n3x3 0 --c3x3 4 --p3x3 7 --w3x3 1.02 ,30.552,34764300.0,42.308,48141200.0,31.0,36.0,31.0,36.0,37.0,34.0,36.0,42.0,40.0,32.0,36.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 4 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.43 --n1x1 0 --c1x1 2 --p1x1 0.029 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.114 --n2x1 2 --c2x1 2 --p2x1 0.575 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.882 --n3x1 0 --c3x1 4 --p3x1 2 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.402 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,47.584,0.009,46.204,0.009,43.0,43.0,42.0,46.0,46.0,44.0,40.0,50.0,51.0,45.0,44.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 1 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.984 --n1x1 0 --c1x1 2 --p1x1 0.696 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.08 --n2x1 2 --c2x1 2 --p2x1 0.677 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.3 --n3x1 0 --c3x1 4 --p3x1 3 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.815 --n3x3 0 --c3x3 4 --p3x3 6 --w3x3 1.02 ,52.105,99233200000.0,51.78,98613300000.0,42.0,52.0,51.0,46.0,45.0,57.0,52.0,57.0,51.0,52.0,51.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 10 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.792 --n1x1 0 --c1x1 2 --p1x1 0.473 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.673 --n2x1 2 --c2x1 2 --p2x1 0.678 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.576 --n3x1 0 --c3x1 4 --p3x1 7 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.489 --n3x3 0 --c3x3 4 --p3x3 3 --w3x3 1.02 ,50.276,54732.5,48.976,53317.3,43.0,47.0,40.0,45.0,49.0,45.0,46.0,44.0,56.0,50.0,45.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 8 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.729 --n1x1 0 --c1x1 2 --p1x1 0.904 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.332 --n2x1 2 --c2x1 2 --p2x1 0.634 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.73 --n3x1 0 --c3x1 4 --p3x1 6 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.705 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,50.129,4.96756e+34,48.686,4.82449e+34,51.0,46.0,47.0,56.0,48.0,49.0,49.0,56.0,53.0,44.0,49.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 1 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.97 --n1x1 0 --c1x1 2 --p1x1 0.083 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.266 --n2x1 2 --c2x1 2 --p2x1 0.775 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.807 --n3x1 0 --c3x1 4 --p3x1 6 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.749 --n3x3 0 --c3x3 4 --p3x3 8 --w3x3 1.02 ,47.401,0.043,46.026,0.041,37.0,41.0,49.0,38.0,48.0,55.0,40.0,47.0,45.0,49.0,46.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 7 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.385 --n1x1 0 --c1x1 2 --p1x1 0.016 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.346 --n2x1 2 --c2x1 2 --p2x1 0.911 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.737 --n3x1 0 --c3x1 4 --p3x1 8 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.8 --n3x3 0 --c3x3 4 --p3x3 3 --w3x3 1.02 ,47.534,0.008,46.155,0.008,40.0,35.0,41.0,43.0,49.0,41.0,39.0,36.0,35.0,40.0,40.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 1 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.612 --n1x1 0 --c1x1 2 --p1x1 0.248 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.762 --n2x1 2 --c2x1 2 --p2x1 0.584 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.814 --n3x1 0 --c3x1 4 --p3x1 1 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.006 --n3x3 0 --c3x3 4 --p3x3 9 --w3x3 1.02 ,47.414,0.05,46.05,0.049,47.0,54.0,51.0,39.0,44.0,51.0,50.0,48.0,53.0,45.0,49.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 10 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.512 --n1x1 0 --c1x1 2 --p1x1 0.125 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.043 --n2x1 2 --c2x1 2 --p2x1 0.225 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.312 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.097 --n3x3 0 --c3x3 4 --p3x3 6 --w3x3 1.02 ,47.698,0.018,46.322,0.018,49.0,42.0,53.0,42.0,41.0,47.0,44.0,47.0,39.0,52.0,45.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 3 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.331 --n1x1 0 --c1x1 2 --p1x1 0.844 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.337 --n2x1 2 --c2x1 2 --p2x1 0.033 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.951 --n3x1 0 --c3x1 4 --p3x1 9 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.604 --n3x3 0 --c3x3 4 --p3x3 6 --w3x3 1.02 ,45.338,3.49469e+27,44.047,3.39521e+27,52.0,52.0,49.0,49.0,53.0,45.0,48.0,42.0,49.0,45.0,49.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 10 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.669 --n1x1 0 --c1x1 2 --p1x1 0.039 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.169 --n2x1 2 --c2x1 2 --p2x1 0.011 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.906 --n3x1 0 --c3x1 4 --p3x1 4 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.032 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,47.383,0.0,46.009,0.0,47.0,47.0,35.0,47.0,51.0,43.0,41.0,41.0,42.0,41.0,42.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 3 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.225 --n1x1 0 --c1x1 2 --p1x1 0.723 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.455 --n2x1 2 --c2x1 2 --p2x1 0.215 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.403 --n3x1 0 --c3x1 4 --p3x1 5 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.324 --n3x3 0 --c3x3 4 --p3x3 8 --w3x3 1.02 ,45.702,1.79978e+21,44.4,1.74849e+21,49.0,37.0,46.0,55.0,44.0,53.0,46.0,48.0,54.0,43.0,47.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 7 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.18 --n1x1 0 --c1x1 2 --p1x1 0.191 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.3 --n2x1 2 --c2x1 2 --p2x1 0.291 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.566 --n3x1 0 --c3x1 4 --p3x1 6 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.594 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,47.285,0.014,46.272,0.014,43.0,47.0,48.0,43.0,48.0,41.0,45.0,54.0,48.0,43.0,46.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 9 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.843 --n1x1 0 --c1x1 2 --p1x1 0.237 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.505 --n2x1 2 --c2x1 2 --p2x1 0.129 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.505 --n3x1 0 --c3x1 4 --p3x1 4 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.71 --n3x3 0 --c3x3 4 --p3x3 10 --w3x3 1.02 ,46.629,0.041,46.533,0.041,50.0,36.0,44.0,53.0,43.0,46.0,39.0,40.0,46.0,42.0,43.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 9 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.901 --n1x1 0 --c1x1 2 --p1x1 0.355 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.098 --n2x1 2 --c2x1 2 --p2x1 0.375 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.16 --n3x1 0 --c3x1 4 --p3x1 1 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.083 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,43.466,0.396,47.397,0.431,58.0,47.0,48.0,53.0,52.0,48.0,44.0,48.0,57.0,52.0,50.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 8 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.523 --n1x1 0 --c1x1 2 --p1x1 0.836 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.336 --n2x1 2 --c2x1 2 --p2x1 0.189 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.427 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.418 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,45.808,1.1061499999999999e+29,44.503,1.07462e+29,49.0,48.0,47.0,45.0,52.0,49.0,38.0,53.0,61.0,33.0,48.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 2 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.523 --n1x1 0 --c1x1 2 --p1x1 0.308 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.981 --n2x1 2 --c2x1 2 --p2x1 0.141 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.362 --n3x1 0 --c3x1 4 --p3x1 7 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.19 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,42.01,0.035,46.364,0.039,46.0,46.0,50.0,45.0,52.0,51.0,46.0,47.0,52.0,47.0,47.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 1 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.278 --n1x1 0 --c1x1 2 --p1x1 0.161 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.623 --n2x1 2 --c2x1 2 --p2x1 0.856 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.536 --n3x1 0 --c3x1 4 --p3x1 8 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.077 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,47.389,0.023,46.014,0.023,43.0,43.0,42.0,38.0,50.0,48.0,44.0,45.0,47.0,52.0,44.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 2 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.591 --n1x1 0 --c1x1 2 --p1x1 0.848 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.38 --n2x1 2 --c2x1 2 --p2x1 0.827 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.558 --n3x1 0 --c3x1 4 --p3x1 9 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.34 --n3x3 0 --c3x3 4 --p3x3 10 --w3x3 1.02 ,53.26,8.27064e+30,51.716,8.03086e+30,44.0,49.0,56.0,55.0,49.0,44.0,51.0,50.0,47.0,49.0,49.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 10 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.32 --n1x1 0 --c1x1 2 --p1x1 0.374 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.294 --n2x1 2 --c2x1 2 --p2x1 0.136 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.32 --n3x1 0 --c3x1 4 --p3x1 4 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.861 --n3x3 0 --c3x3 4 --p3x3 10 --w3x3 1.02 ,34.054,0.159,47.353,0.22,51.0,55.0,47.0,46.0,47.0,43.0,42.0,42.0,51.0,42.0,46.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 3 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.436 --n1x1 0 --c1x1 2 --p1x1 0.246 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.102 --n2x1 2 --c2x1 2 --p2x1 0.768 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.861 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.964 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,48.635,0.174,47.559,0.17,43.0,43.0,46.0,50.0,53.0,42.0,48.0,50.0,57.0,41.0,47.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 4 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.774 --n1x1 0 --c1x1 2 --p1x1 0.494 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.476 --n2x1 2 --c2x1 2 --p2x1 0.122 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.693 --n3x1 0 --c3x1 4 --p3x1 4 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.561 --n3x3 0 --c3x3 4 --p3x3 7 --w3x3 1.02 ,44.601,58387.6,44.617,58408.7,53.0,50.0,51.0,45.0,53.0,49.0,50.0,54.0,46.0,52.0,50.5
